Ano;Mês;Tipo de Outorga;Acessos
2007;6;Concessão;34333739
2007;7;Concessão;34103090
2007;8;Concessão;34102845
2007;9;Concessão;34061795
2007;11;Concessão;34043741
2007;10;Concessão;34003662
2008;1;Concessão;33968661
2007;12;Concessão;33873928
2008;10;Concessão;33758912
2008;2;Concessão;33723197
2008;3;Concessão;33692876
2008;9;Concessão;33627690
2008;4;Concessão;33616983
2008;6;Concessão;33614527
2008;5;Concessão;33608993
2008;8;Concessão;33601827
2008;7;Concessão;33573175
2008;11;Concessão;33546745
2008;12;Concessão;33445488
2009;1;Concessão;33341160
2009;2;Concessão;33211442
2009;3;Concessão;33127232
2009;4;Concessão;32994682
2009;5;Concessão;32972212
2009;6;Concessão;32913771
2009;7;Concessão;32741083
2009;8;Concessão;32559565
2009;9;Concessão;32464590
2009;10;Concessão;32409759
2009;11;Concessão;32351216
2009;12;Concessão;32251502
2010;1;Concessão;32188890
2010;2;Concessão;32066328
2010;3;Concessão;31977836
2010;4;Concessão;31845629
2010;5;Concessão;31771774
2010;6;Concessão;31714817
2010;7;Concessão;31587123
2010;9;Concessão;31495607
2010;8;Concessão;31477126
2010;10;Concessão;31265740
2010;11;Concessão;31199326
2010;12;Concessão;31009863
2011;1;Concessão;30918268
2011;3;Concessão;30872756
2011;2;Concessão;30693187
2011;4;Concessão;30504842
2011;5;Concessão;30237450
2011;6;Concessão;30213217
2011;7;Concessão;30141344
2011;8;Concessão;29970191
2011;9;Concessão;29885368
2011;10;Concessão;29829781
2011;11;Concessão;29758266
2011;12;Concessão;29703125
2012;1;Concessão;29577764
2012;2;Concessão;29524155
2012;3;Concessão;29456269
2012;4;Concessão;29408681
2012;5;Concessão;29374150
2012;6;Concessão;29308830
2012;7;Concessão;29253946
2012;8;Concessão;29224402
2012;9;Concessão;29149208
2012;10;Concessão;29092949
2012;11;Concessão;29068156
2012;12;Concessão;28940206
2013;1;Concessão;28847246
2013;2;Concessão;28788651
2013;3;Concessão;28721401
2013;4;Concessão;28683411
2013;5;Concessão;28613721
2013;6;Concessão;28456104
2013;7;Concessão;28331759
2013;8;Concessão;28252350
2013;9;Concessão;28138934
2013;10;Concessão;28041660
2013;11;Concessão;27936434
2013;12;Concessão;27630811
2014;1;Concessão;27486068
2014;2;Concessão;27460402
2014;3;Concessão;27381467
2014;4;Concessão;27284353
2014;5;Concessão;27277976
2014;6;Concessão;27076337
2014;7;Concessão;26901983
2014;8;Concessão;26768348
2014;9;Concessão;26686599
2014;10;Concessão;26592308
2014;11;Concessão;26508862
2014;12;Concessão;26320890
2015;1;Concessão;26194106
2015;2;Concessão;26089868
2015;3;Concessão;25959204
2015;4;Concessão;25836630
2015;5;Concessão;25714284
2015;6;Concessão;25570048
2015;7;Concessão;25451356
2015;8;Concessão;25237927
2015;9;Concessão;25083419
2015;10;Concessão;24901729
2015;11;Concessão;24748741
2016;4;Concessão;24725260
2016;2;Concessão;24629836
2015;12;Concessão;24591684
2016;5;Concessão;24570266
2016;6;Concessão;24503060
2016;1;Concessão;24492543
2016;7;Concessão;24420048
2016;8;Concessão;24285723
2016;3;Concessão;24233216
2016;9;Concessão;24208457
2016;10;Concessão;24138858
2016;11;Concessão;24047895
2016;12;Concessão;23917536
2017;1;Concessão;23779302
2017;3;Concessão;23683302
2017;2;Concessão;23681344
2017;4;Concessão;23598969
2017;5;Concessão;23535010
2017;6;Concessão;23456743
2017;7;Concessão;23277819
2017;8;Concessão;23167456
2017;9;Concessão;23045038
2017;10;Concessão;22926354
2017;11;Concessão;22799087
2017;12;Concessão;22659130
2018;1;Concessão;22543751
2018;2;Concessão;22403778
2018;3;Concessão;22248555
2018;4;Concessão;22125152
2018;5;Concessão;21995473
2018;6;Concessão;21861645
2018;7;Concessão;21721714
2018;8;Concessão;21570155
2018;9;Concessão;21390883
2018;10;Concessão;21235795
2018;11;Concessão;21119412
2018;12;Concessão;20899233
2019;1;Concessão;20707674
2019;2;Concessão;20507818
2019;3;Concessão;20320687
2019;4;Concessão;20160841
2019;5;Concessão;19927814
2019;6;Concessão;19779776
2019;7;Concessão;19607602
2019;8;Concessão;19323062
2019;9;Concessão;19068389
2015;12;Autorização;18817787
2019;10;Concessão;18803433
2016;2;Autorização;18729693
2016;3;Autorização;18723845
2016;1;Autorização;18680297
2019;11;Concessão;18483707
2015;5;Autorização;18287219
2015;6;Autorização;18281367
2015;10;Autorização;18275171
2015;9;Autorização;18271358
2015;4;Autorização;18258300
2015;8;Autorização;18227742
2015;11;Autorização;18225690
2015;7;Autorização;18167364
2015;3;Autorização;18140421
2019;12;Concessão;18109588
2015;2;Autorização;18094353
2016;4;Autorização;18072118
2016;5;Autorização;18019849
2016;6;Autorização;17982827
2016;7;Autorização;17942031
2016;8;Autorização;17927788
2020;1;Concessão;17816156
2014;12;Autorização;17807298
2014;11;Autorização;17776495
2014;10;Autorização;17657785
2020;2;Concessão;17585889
2014;9;Autorização;17577982
2014;8;Autorização;17522532
2020;3;Concessão;17427639
2015;1;Autorização;17424050
2014;7;Autorização;17412196
2016;9;Autorização;17343438
2016;10;Autorização;17319702
2016;11;Autorização;17318049
2020;4;Concessão;17261820
2014;6;Autorização;17257242
2016;12;Autorização;17253906
2017;1;Autorização;17199739
2017;2;Autorização;17180295
2017;3;Autorização;17159507
2014;5;Autorização;17149827
2017;4;Autorização;17139885
2017;5;Autorização;17109122
2020;5;Concessão;17082650
2017;6;Autorização;17072740
2017;10;Autorização;16943507
2017;9;Autorização;16939562
2018;4;Autorização;16919631
2017;8;Autorização;16919034
2020;6;Concessão;16916050
2014;4;Autorização;16915531
2017;11;Autorização;16907091
2018;1;Autorização;16905535
2018;2;Autorização;16904320
2018;3;Autorização;16894557
2017;12;Autorização;16886449
2017;7;Autorização;16870783
2018;5;Autorização;16839010
2018;6;Autorização;16826118
2014;3;Autorização;16795620
2018;7;Autorização;16783065
2020;7;Concessão;16763241
2018;8;Autorização;16754216
2018;9;Autorização;16714950
2018;10;Autorização;16683496
2020;8;Concessão;16639916
2018;11;Autorização;16611161
2014;2;Autorização;16591690
2018;12;Autorização;16583976
2020;9;Concessão;16535309
2020;10;Concessão;16455265
2014;1;Autorização;16409187
2013;12;Autorização;16375810
2019;1;Autorização;16374847
2019;2;Autorização;16323394
2020;11;Concessão;16301158
2019;3;Autorização;16280745
2019;4;Autorização;16224801
2020;12;Concessão;16128783
2013;11;Autorização;16098387
2021;1;Concessão;16074710
2021;2;Concessão;15965322
2019;5;Autorização;15964057
2013;10;Autorização;15916418
2019;6;Autorização;15907304
2019;7;Autorização;15847031
2019;8;Autorização;15817020
2021;3;Concessão;15794433
2019;9;Autorização;15711147
2019;10;Autorização;15613674
2021;4;Concessão;15613669
2021;6;Autorização;15591875
2019;11;Autorização;15532082
2021;5;Concessão;15450554
2019;12;Autorização;15400474
2013;9;Autorização;15311924
2020;1;Autorização;15305683
2020;2;Autorização;15254267
2020;3;Autorização;15171024
2013;6;Autorização;15116321
2021;7;Concessão;15114764
2013;8;Autorização;15114196
2013;5;Autorização;15062041
2021;8;Concessão;14970710
2013;4;Autorização;14930173
2013;7;Autorização;14921421
2020;4;Autorização;14877642
2021;9;Concessão;14799209
2013;3;Autorização;14793677
2021;7;Autorização;14733461
2020;5;Autorização;14690285
2021;8;Autorização;14671282
2021;5;Autorização;14663242
2013;2;Autorização;14645892
2021;10;Concessão;14637097
2021;9;Autorização;14627036
2021;10;Autorização;14615800
2021;4;Autorização;14608958
2013;1;Autorização;14560316
2020;6;Autorização;14555276
2022;11;Autorização;14545437
2021;11;Concessão;14524915
2021;2;Autorização;14514905
2022;1;Autorização;14496234
2022;7;Autorização;14485326
2022;2;Autorização;14470314
2023;1;Autorização;14454079
2021;3;Autorização;14447740
2020;7;Autorização;14429497
2012;12;Autorização;14415837
2021;11;Autorização;14405501
2022;5;Autorização;14404504
2022;10;Autorização;14402915
2021;12;Autorização;14400995
2022;9;Autorização;14391508
2021;1;Autorização;14386623
2023;4;Autorização;14378234
2022;3;Autorização;14373103
2020;12;Autorização;14330449
2022;8;Autorização;14322271
2021;12;Concessão;14320521
2012;11;Autorização;14316418
2021;6;Concessão;14310837
2022;6;Autorização;14305377
2022;4;Autorização;14301089
2020;11;Autorização;14289502
2023;7;Autorização;14263496
2020;8;Autorização;14252268
2023;2;Autorização;14248837
2022;1;Concessão;14206950
2023;6;Autorização;14205471
2020;9;Autorização;14176962
2023;5;Autorização;14174288
2012;10;Autorização;14167062
2023;8;Autorização;14160270
2022;12;Autorização;14152681
2023;9;Autorização;14148086
2023;10;Autorização;14134566
2023;11;Autorização;14120981
2023;3;Autorização;14115911
2023;12;Autorização;14099309
2022;2;Concessão;14069141
2020;10;Autorização;14014408
2012;9;Autorização;13969960
2024;1;Autorização;13929935
2022;3;Concessão;13919038
2012;8;Autorização;13852549
2024;2;Autorização;13843936
2012;7;Autorização;13699436
2022;4;Concessão;13682973
2022;5;Concessão;13616772
2022;6;Concessão;13569343
2024;3;Autorização;13555977
2012;6;Autorização;13493805
2022;7;Concessão;13459713
2022;8;Concessão;13358530
2012;5;Autorização;13345257
2022;9;Concessão;13256239
2012;4;Autorização;13154272
2022;10;Concessão;13150630
2022;11;Concessão;13056424
2022;12;Concessão;12954648
2023;1;Concessão;12890850
2012;3;Autorização;12840373
2023;2;Concessão;12784153
2023;3;Concessão;12673598
2012;2;Autorização;12646033
2023;4;Concessão;12567254
2023;5;Concessão;12446772
2012;1;Autorização;12418238
2011;12;Autorização;12360564
2023;6;Concessão;12299299
2011;11;Autorização;12181752
2023;7;Concessão;12111198
2011;10;Autorização;11909120
2023;8;Concessão;11894315
2011;9;Autorização;11798174
2011;8;Autorização;11787850
2023;9;Concessão;11722243
2023;10;Concessão;11578044
2023;11;Concessão;11494404
2011;7;Autorização;11439741
2023;12;Concessão;11347945
2011;6;Autorização;11241354
2024;1;Concessão;11227029
2024;2;Concessão;11103305
2011;5;Autorização;11068125
2024;3;Concessão;10964854
2011;4;Autorização;10810269
2011;3;Autorização;10604136
2011;2;Autorização;10406486
2011;1;Autorização;10207203
2010;12;Autorização;10029051
2010;11;Autorização;9873391
2010;10;Autorização;9630838
2010;9;Autorização;9430700
2010;8;Autorização;9238635
2010;7;Autorização;9038607
2010;6;Autorização;8865152
2010;5;Autorização;8772492
2010;4;Autorização;8620780
2010;3;Autorização;8500897
2010;2;Autorização;8238798
2010;1;Autorização;8177784
2009;11;Autorização;8147879
2009;12;Autorização;8121231
2009;10;Autorização;8050642
2009;9;Autorização;7961660
2009;8;Autorização;7875293
2009;7;Autorização;7728906
2009;6;Autorização;7597511
2009;5;Autorização;7480562
2009;4;Autorização;7351445
2009;3;Autorização;7201597
2009;2;Autorização;7028315
2009;1;Autorização;6853294
2008;12;Autorização;6681328
2008;11;Autorização;6572493
2008;10;Autorização;6373909
2008;9;Autorização;6186708
2008;8;Autorização;5986941
2008;7;Autorização;5770235
2008;6;Autorização;5527880
2008;5;Autorização;5329116
2008;4;Autorização;5061679
2008;3;Autorização;4952062
2008;2;Autorização;4752533
2008;1;Autorização;4593131
2007;12;Autorização;4383524
2007;11;Autorização;4271673
2007;10;Autorização;4168760
2007;9;Autorização;4027764
2007;8;Autorização;3872644
2007;7;Autorização;3732788
2007;6;Autorização;3629169
